,text
178,"President Trump announced a new policy approach toward Cuba in June 2017 that partially rolled back efforts to normalize relations and imposed new sanctions on Cuba, including restrictions on the permissible category of people-to-people educational travel to Cuba and on transactions with companies controlled by the Cuban military.
It is divided into three major sections analyzing: (1) Cuba's political and economic environment; (2) U.S. policy toward Cuba; and (3) selected issues in U.S.-Cuban relations, including restrictions on travel and trade, democracy and human rights funding for Cuba, U.S. government-sponsored radio and television broadcasting to Cuba (Radio and T Martí), migration issues, antidrug cooperation, property claims, and U.S. fugitives from justice in Cuba.
In 2008, Cuba lifted a ban on Cubans staying in hotels that previously had been restricted to foreign tourists in a policy that had been pejoratively referred to as ""tourist apartheid."" In recent years, as the government has enacted limited economic reforms, it has been much more open to debate on economic issues.
In October 2018, the State Department's U.S. Mission to the United Nations launched a campaign to call attention to the plight of Cuba's ""estimated 130 political prisoners."" Secretary of State Mike Pompeo wrote an open letter to Cuban Foreign Minister Bruno Rodriguez in December 2018, asking for a substantive explanation for the continued detention of eight specific political prisoners and an explanation of the charges and evidence against other individuals held as political prisoners.
According to the State Department's human rights report on Cuba covering 2018, issued in March 2019, the government refused international humanitarian organizations and the United Nations access to its prisons and detention centers, and closely monitored and often harassed domestic human rights organizations.
Key sectors of the economy that generate foreign exchange include the export of professional services (largely medical personnel to Venezuela); tourism, which has grown significantly since the mid-1990s, with an estimated 4.75 million tourists visiting Cuba in 2018; nickel mining, with the Canadian mining company Sherritt International involved in a joint investment project; and a biotechnology and pharmaceutical sector that supplies the domestic health care system and has fostered a significant export industry.
The CACR, which include a prohibition on most financial transactions with Cuba and a freeze of Cuban government assets in the United States, remain the main body of Cuba embargo regulations and have been amended many times over the years to reflect changes in policy.
President Obama said that his Administration would ""end an outdated approach that, for decades, has failed to advance our interests."" He maintained that the United States would continue to raise concerns about democracy and human rights in Cuba but stated that ""we can do more to support the Cuban people and promote our values through engagement.""  The policy change included three major steps: (1) the rescission of Cuba's designation as a state sponsor of international terrorism in May 2015; (2) the restoration of diplomatic relations in July 2015 (relations had been severed in January 1961 by the Eisenhower Administration); and (3) steps to increase travel, commerce, and the flow of information to Cuba.
He stated that ""any changes to the relationship between the United States and Cuba will depend on real progress toward these and other goals."" Once Cuba takes concrete steps in these areas, President Trump said ""we will be ready, willing and able to come to the table to negotiate that much better deal for Cubans, for Americans."" The new policy leaves many of the Obama-era policy changes in place, including the reestablishment of diplomatic relations and a variety of eased sanctions to increase travel and commerce with Cuba.
The new policy also keeps in place the Obama Administration's action ending the so-called wet foot/dry foot policy toward Cuban migrants, which, according to the NSPM, had ""encouraged untold thousands of Cuban nationals to risk their lives to travel unlawfully to the United States."" The most significant policy changes set forth in President Trump's NSPM include (1) restrictions on financial transactions with companies controlled by the Cuban military, intelligence, or security services or personnel and (2) the elimination of people-to-people educational travel by individuals.
(For further background, see "" U.S. Response to Health Injuries of U.S. Personnel in Havana "" below.) ""Troika of Tyranny."" In a November 2018 address in Miami, FL, National Security Adviser John Bolton strongly criticized the Cuban government on human rights, stating that ""we will only engage with a Cuban government that is willing to undertake necessary and tangible reforms—a government that respects the interests of the Cuban people."" Bolton's speech, full of anti-communist political discourse reminiscent of the Cold War era, referred to Cuba, Venezuela, and Nicaragua as a ""troika of tyranny"" and the ""cause of immense human suffering, the impetus of enormous regional instability, and the genesis of a sordid cradle of communism in the Western Hemisphere."" He referred to the three countries' leaders as ""three stooges of socialism"" and as ""clownish pitiful figures."" Bolton asserted that the Venezuelan regime's repression has been ""enabled by the Cuban dictatorship."" In 2019, as the political situation in Venezuela has deteriorated and the United States has ramped up sanctions on the Maduro regime, the Trump Administration has increased its criticism of Cuba's support for the regime.
Then, on March 4, Secretary Pompeo partially suspended the right to file lawsuits for an additional 30 days (through April 17) but allowed lawsuits, beginning March 19, against an entity or subentity on the State Department's ""Cuba Restricted List"" controlled by the Cuban military, intelligence, or security services.
The Trump Administration's policy of rolling back some of the Obama-era changes and introducing new sanctions on Cuba also has highlighted divisions in Congress over Cuba policy, with some Members supporting the President's action because of Cuba's lack of progress on human rights and others opposing it because of the potential negative effect on the Cuban people and U.S. business interests.
According to the State Department's 2019 International Narcotics Control Strategy Report (INCSR), issued in March 2019, Cuba has 40 bilateral agreements for antidrug cooperation with countries worldwide, including the 2016 U.S.-Cuban agreement noted above."
179,"After meeting with President Kagame in Davos in January 2018, President Trump praised the United States' ""great relationships"" with Rwanda, including bilateral trade, and stated that ""the job they've done is absolutely terrific."" In September 2017 congressional testimony, then Acting Assistant Secretary of State for Africa Yamamoto praised Rwanda's ""remarkable gains"" in health and development and characterized the country as ""a major contributor to regional peace and security,"" while asserting that ""Rwanda's record in the areas of human rights and democracy, while improved in some areas, remains a concern."" He called on the government ""to take steps toward a democratic transition of power.""  Regarding Rwanda's 2017 presidential election, the State Department stated that ""we are disturbed by irregularities observed during voting and reiterate long-standing concerns over the integrity of the vote-tabulation process."" In response to Member questions at the September 2017 hearing, Ambassador Yamamoto affirmed that ""we are unable to assess this election as free and fair."" At his Senate confirmation hearing in late 2017, the U.S. Ambassador-designate to Rwanda described his four top policy goals as the following: continuing the United States' ""development partnership"" with Rwanda, promoting U.S. business and economic ties, supporting Rwanda's continued peacekeeping role, and advancing ""democratic ideals."" President Trump suspended duty-free treatment of Rwandan apparel exports to the United States under AGOA in 2018, as noted above, citing Rwandan protectionist policies.
FY2014: The Obama Administration continued to suspend FMF, consistent with a provision in that year's appropriations act ( P.L. 113-76 , §7042(l) of Division K) restricting such funds unless Rwanda was ""taking steps to cease"" support to certain armed groups in DRC."
180,"Terrorism Loss Sharing Criteria To meet the first goal, the TRIA program creates a mechanism through which the federal government could share insured commercial property and casualty losses with the private insurance market.
7. In the years following the federal sharing of insurer losses, but prior to September 30, 2024, the Secretary of the Treasury is required to establish surcharges on TRIA-eligible property and casualty insurance policies to recoup 140% of some or all of the outlays to insurers under the program.
The general result of the recoupment provisions is that, for attacks that result in under $37.5 billion in insured losses, the Treasury Secretary is required to recoup 140% of the government outlays through surcharges on property and casualty insurance policies."
181,"Later, multilevel government responses to disasters such as Hurricane Katrina expanded the concept of homeland security to include disasters, public health emergencies, and other events that threaten the United States, its economy, the rule of law, and government operations.
the protection of U.S. sovereignty, territory, domestic population, and critical defense infrastructure against external threats and aggression, or other threats as directed by the President."" Homeland security, on the other hand, is a more broadly coordinated effort, involving not only military activities, but the operations of civilian agencies at all levels of government.
Analyzing Costs Across Government Section 889 of the Homeland Security Act of 2002 required the President's annual budget request to include an analysis of homeland security funding across the federal government—not just DHS.
The resulting data series, which included agency-reported data on spending in three categories—preventing and disrupting terrorist attacks; protecting the American people, critical infrastructure, and key resources; and responding to and recovering from incidents—provides a limited snapshot of the scope of the federal government's investment in homeland security.
OIA combines information collected by DHS components as part of their operational activities (i.e., those conducted at airports, seaports, and the border) with foreign intelligence from the IC; law enforcement information from federal, state, local, territorial and tribal sources; and private sector data about critical infrastructure and strategic resources.
In December 2015, the joint explanatory statement for the Consolidated Appropriations Act, 2016 ( P.L. 114-113 ) stated that DHS ""lacks a mechanism for capturing and understanding research and development (R&D) activities conducted across DHS, as well as coordinating R&D to reflect departmental priorities."" A challenge for external coordination is that the majority of homeland security-related R&D is conducted by other agencies, most notably the Department of Defense and the Department of Health and Human Services.
Potential Issues for Congress The Administration's proposal appears to authorize the USMS to staff all protective details of executive branch officials (excluding the USSS and the Departments of State and Defense) deemed to need security, even protective security details that presently are staffed by agencies' employees.
As authorized in part by the Post-Katrina Emergency Reform Act of 2006 (PKEMRA; P.L. 109-295 ), the President, acting through the Federal Emergency Management Agency (FEMA) Administrator, is directed to create a ""national preparedness goal"" (NPG) and develop a ""national preparedness system"" (NPS) that will help ""ensure the Nation's ability to prevent, respond to, recover from, and mitigate against natural disasters, acts of terrorism, and other man-made disasters"" (6 U.S.C.
Congress may have interest in overseeing a variety of factors related to the NPS, such as whether the NPS conforms to the objectives of Congress, as outlined in the PKEMRA statute; the NPS is properly informed by quantitative and qualitative data and outcome metrics, such as those gathered by the THIRA and SPR, as has been regularly recommended by the Government Accountability Office; federal roles and responsibilities have, in Congress's opinion, been properly assigned and resourced to execute the core capabilities needed to prevent, protect against, mitigate the effects of, respond to, and recover from the greatest risks; nonfederal resources and stakeholders are efficiently incorporated into NPS policies; and federal, state, and local government officials are allocating the appropriate amount of resources to the disaster preparedness mission relative to other homeland security missions.
§§5121 et seq.), the Federal Emergency Management Agency (FEMA) may provide various temporary housing assistance programs to meet disaster survivors' needs.
The NFIP has two main policy goals: (1) to provide access to primary flood insurance, thereby allowing for the transfer of some of the financial risk from property owners to the federal government, and (2) to mitigate and reduce the nation's comprehensive flood risk through the development and implementation of floodplain management standards.
In response, Congress established firefighter assistance grant programs within the Federal Emergency Management Agency (FEMA) to provide additional support for local fire departments.
Congress may also focus on the activities of the Federal Communications Commission (FCC) Public Safety and Homeland Security Bureau (PSHSB), which administers FCC policies related to emergency communications, including rules for carriers supporting 911 services; state and local use of 911 fees; public safety spectrum; public alerts, including rules for carriers delivering wireless alerts to mobile phones; disaster management and reporting of private network outages; and restoration efforts."
182,"Service of Indicted Members on Committees H.Res. 6 amended clause 10 of Rule XXIII, adding a provision that calls on any Member, Delegate, or the Resident Commissioner who has been indicted or formally charged with a felony offense that is punishable by at least two years in prison to resign from committee assignments and party caucus or conference leadership positions.
According to the Rules Committee's summary of H.Res. 6, the ""change is intended to grant committees adequate time to organize, as some committees do not have a full complement of members at the start of a Congress."" Hearing and Markup Procedure Requiring Committee Hearing and Markup on Bills and Joint Resolutions In a separate order, the rules package requires that, during the 116 th Congress, after March 1, 2019, certain lawmaking measures must be reported and be subject to related committee hearings and a markup prior to floor consideration."
183,"The Ford -class design uses the basic Nimitz -class hull form but incorporates several improvements, including features permitting the ship to generate more aircraft sorties per day, more electrical power for supporting ship systems, and features permitting the ship to be operated by several hundred fewer sailors than a Nimitz -class ship, reducing 50-year life-cycle operating and support (O&S) costs for each ship by about $4 billion compared to the Nimitz -class design, the Navy estimates.
1356 / P.L. 114-92 of November 25, 2015) further amended the cost cap for the CVN-78 program to provide a revised cap of $11,398.0 million for each follow-on ship in the program, plus adjustment for inflation and other factors, and with a new provision stating that, if during construction of CVN-79, the Chief of Naval Operations determines that measures required to complete the ship within the revised cost cap shall result in an unacceptable reduction to the ship's operational capability, the Secretary of the Navy may increase the CVN-79 cost cap by up to $100 million (i.e., to $11.498 billion).
In an August 2, 2017, letter to the congressional defense committees, then-Acting Secretary of the Navy Sean Stackley notified the committees that under subsection (b)(7) of Section 122 of P.L. 114-92 as amended by Section 121 of P.L. 113-66 —a subsection allowing increases to the cost cap for CVN-78 for ""the amounts of increases or decreases in costs of that ship that are attributable solely to an urgent and unforeseen requirement identified as a result of the shipboard test program""—he had increased the cost cap for CVN-78 by $20 million, to $12,907.0 million.
McCain National Defense Authorization Act for Fiscal Year 2019 ( H.R. 5515 / P.L. 115-232 of August 13, 2018)—the provision that authorized the two-ship block buy contract for CVN-80 and CVN-81—subsection (a)(1) specifically authorizes a contract for the procurement of CVN-81 ""beginning with the fiscal year 2019 program year."" The header for subsection (a)(1) is ""Procurement Authorized."" Consistent with Section 121(a)(1), the funding table for the Navy's shipbuilding account in the conference report ( H.Rept.
This paragraph also states that ""the funds made available by this Act for the Carrier Replacement Program (CVN-80) may be available to modify or enter into a new contract for the procurement of a Ford-class aircraft carrier designated CVN–81 pursuant to section 121 of the John S.
At a November 27, 2018, hearing on Navy shipbuilding programs before the Seapower subcommittee of the Senate Armed Services Committee, the following exchange occurred: SENATOR TIM KAINE (continuing):  There have been challenges with the advanced weapons elevators on the CVN, some of the technical difficult[ies] seem similar to those that were experienced earlier on both the [aircraft] launch and arresting systems.
As noted in previous annual reports, the CVN 78 test schedule has been aggressive, and the development of EMALS [Electromagnetic Aircraft Launch System], AAG [Advanced Arresting gear], AWE [Advanced Weapons Elevator], DBR [Dual Band Radar], and the Integrated Warfare System delayed the ship's first deployment to FY22.
Other Program Issues CVN 78's procurement costs increased by 23 percent over its initial cost cap and as a result of continuing technical deficiencies, the Navy may still require more funding to complete this ship.
The program also stated that, with CVN 79 construction 55 percent complete, shipbuilder cost performance remains stable, but slightly below the level needed to achieve production labor hour reduction targets.
Ford-class aircraft carriers while saving money it is starting to look at future carrier procurement, which might be very different.… Modly said Secretary of the Navy Richard Spencer sees $13 billion carriers as not sustainable going forward and the service will be looking at ways to further reduce costs or keep the carrier capabilities more affordable in future ship procurements.
Until it was withdrawn, the proposal in the Navy's FY2020 budget submission to not fund CVN-75's RCOH and instead decommission the ship (and a carrier air wing) raised a number of potential oversight issues for Congress, including the following: Compliance with congressional direction.
Compared to DOD's estimate that the two-ship block buy contract for CVN-80 and CVN-81 would produce savings of $3.9 billion (as measured from estimated costs for the two ships in the December 2017 Navy business case analysis), DOD states that ""the Department of Defense's Office of Cost Assessment and Program Evaluation (CAPE) developed an Independent Estimate of Savings for the two-ship procurement and forecast savings of $3.1 billion ([in] Then-Year [dollars]), or approximately 11 percent....
September 2017 Press Report A September 26, 2017, press report states the following: Huntington Ingalls Industries Inc. is falling short of a U.S. Navy goal to reduce hours of labor on the second ship in the new Ford class of aircraft carriers in a drive to reduce costs, according to service documents.
June 2017 GAO Report A June 2017 GAO report states the following: The cost estimate for the second Ford-Class aircraft carrier, CVN 79, is not reliable and does not address lessons learned from the performance of the lead ship, CVN 78.
Navy analysis shows that the CVN 79 cost estimate may not sufficiently account for program risks, with the current budget likely insufficient to complete ship construction.
Based on lessons learned on CVN 78, the approach to carrier construction has undergone an extensive affordability review and the Navy and the shipbuilder have made significant changes on CVN 79 to reduce the cost to build the ship.
Low or unknown reliability and performance of the Advanced Arresting Gear (AAG), the Electromagnetic Aircraft Launch System (EMALS), the Dual Band Radar (DBR), and the Advanced Weapons Elevators (AWE) are significant risks to a successful IOT&E and first deployment, as well as to achieving the life-cycle cost reductions the Navy has estimated will accrue for the Ford-class carriers.
The Secretary of the Navy directed a detailed review of the CVN 78 program build plan to improve end-to-end aircraft carrier design, material procurement, production planning, build and test, the results of which are providing benefit across all carriers.
July 2015 Press Report A July 2, 2015, press report states the following: The Navy plans to spend $25 million per year beginning in 2017 as a way to invest in lowering the cost of building the services' new Ford-class aircraft carriers, service officials said.
As a result of lessons learned on CVN 78, the approach to carrier construction has undergone an extensive affordability review; and the Navy and the shipbuilder have made significant changes on CVN 79 that will reduce the cost to build the ship.
The Navy continues implementing actions from the 2012 detailed review of the FORD-Class build plan to control cost and improve performance across lead and follow ship contracts.
At that time, I reported the current estimate for the Navy's share of the shipbuilder's construction overrun, $690 million, and described that I had directed an end-to-end review to identify the changes necessary to improve cost for carrier design, material procurement, planning, build and test."
184,"In addition to the Twenty-Second Amendment cited above, the Twelfth, ratified in 1804, set the same qualifications for the Vice President; the Twentieth, ratified in 1933, set January 20 of every year following a presidential election as the date on which the chief executive's term begins; and the Twenty-Fifth Amendment clarified the question of vice-presidential succession to the presidency and authorized the President to nominate persons to fill vacancies in the vice presidency, subject to approval by vote of both houses of Congress.
Since that time, most proposed amendments related to the President's term and tenure have (1) called either for a six-year presidential term, usually without the possibility of reelection; or (2) proposed repeal of the Twenty-Second Amendment, allowing individuals to be elected President more than twice.
In addition, most contained a variant of the existing Twenty-Second Amendment provision for Vice Presidents who succeed to the highest office: they would be eligible for election in their own right to a term as President provided they had served less than three years of the term to which their predecessor was elected.
History of Congressional Activity As noted earlier, the proposal to establish a single six-year term for the President and Vice President was a hardy perennial from the early days of the republic: 212 such amendments were introduced between the 19 th through 104 th Congresses.
Beyond the immediate ambit of legislative proposals, the idea, if not the reality, of repealing the Twenty-Second Amendment does appear to gain publicity and a level of at least theoretical support when term-limited Presidents approach the end of their time in office.
Supporters of presidential term limits in general and the Twenty-Second Amendment in particular argue that eight years is time enough for any individual in a position of such great power as the presidency of the United States.
The Democratic National Convention responded to Theodore Roosevelt's third-party bid by adopting a plank in its 1912 platform that called for ""an amendment to the Constitution making the President of the United States ineligible to reelection."" Following the election, the Democratic-controlled 62 nd Congress moved to implement the proposal, and a single-term amendment passed the Senate by the requisite two-thirds majority in February 1913, even before Wilson's inauguration.
The amendment, which was proposed to the states on March 2, 1932, included the following provisions: Terms of the President and Vice President would end on January 20 of the year following a presidential election.
The Senate version of the amendment, as agreed to in the House and proposed to the states, included the following provisions: No person could be elected to the office of President more than twice."
185,"In general, employees of state and local governments are covered by the overtime provisions of the FLSA and thus are affected by EAP rulemaking updating the salary level threshold for the EAP exemptions.
The main changes to the EAP exemptions in the 2019 proposed rule, as summarized in Table 1 , include the following: an increase in the salary level test from the current $455 per week ($23,660 annually) to $679 per week ($35,308 annually); an increase in the annual salary threshold for the HCE exemption from $100,000 to $147,414; an allowance that up to 10% of the standard salary level may be comprised of nondiscretionary bonuses, incentive payments, and commissions; a salary level of $455 per week for the Commonwealth of the Northern Mariana Islands, Guam, Puerto Rico, and the U.S. Virgin Islands, and of $380 in American Samoa; and an increase in the ""base rate"" weekly salary level for employees in the motion picture industry from $695 per week to $1,036 per week."
186,"In contrast, standing program authorizations provide project funding for other agencies, including the Department of Agriculture (USDA), the Environmental Protection Agency (EPA), the Department of Commerce, and the Department of Housing and Urban Development (HUD).
Most recently, amendments to Title XVI enacted in December 2016 in the Water Infrastructure Improvements for the Nation Act (WIIN Act, P.L. 114-322 ) made changes to the program, including authorizing the Secretary of the Interior to accept and review nonfederal feasibility studies for potential planning, design, and construction projects.
The WIIN Act provided DOI with additional authority to accept nonfederal feasibility studies and approve and consider these projects for construction funding if they meet Title XVI program criteria, including that (1) the study complies with federal laws and regulations applicable to water reuse and recycling studies, and (2) the project is technically and financially feasible and provides a federal benefit in accordance with Reclamation laws.
Since 1992, Congress has enacted more than 400 authorizations allowing USACE to provide designated communities, counties, and states with design and construction assistance for drinking water and wastewater infrastructure (including treatment, and distribution/collection facilities) and source water protection and development; these activities are known as environmental infrastructure projects.
The law directs that USDA make grants of 1% to 3% of total grant funding to qualified nonprofits to provide technical assistance and training to help communities in preparing applications for grants and loans and to help problem solving operation and maintenance of existing water and waste disposal facilities in rural areas.
The 2014 farm bill ( P.L. 113-79 ) authorized $5 million per year through FY2018 for USDA to make grants to private nonprofit organizations for the purpose of providing loans to eligible individuals for construction, refurbishing, and servicing of individually owned household water well systems.
Title VII (Section 780) provided an additional $500 million for the grant and loan program ""of which not to exceed $495,000,000 shall be for grants."" Out of the total FY2018 funds, USDA has appropriations of $1.0 million for grants to capitalize revolving loans for water and waste disposal systems and $68 million to support water and waste disposal projects in the colonias, Alaskan Native communities, and Hawaiian Native communities.
To help communities meet these federal mandates and to meet the act's public health objectives, Congress amended the SDWA in 1996 to establish a drinking water state revolving fund (DWSRF) loan program.
Eligibility Requirements There are three categories of recipients eligible for direct allocations of CDBG program funds: entitlement communities (including insular areas), states, and Section 107 special project grants.
Eligibility Requirements There are three categories of recipients eligible for direct allocations of CDBG program funds: entitlement communities (including insular areas), states, and Section 107 special project grants.
However, Congress, in passing the Consolidated Appropriations Act of 2019, P.L. 116-6 , provided $300 million in loan guarantee authority for Section 108 financed projects.
However, Congress, in passing the Consolidated Appropriations Act of 2019, P.L. 116-6 , provided $300 million in loan guarantee authority for Section 108 financed projects.
Funding For FY2017, Congress provided appropriations totaling $100 million for EDA's public works grant program."
187,"As Rule XV states, ""the Speaker may not entertain a motion that the House suspend the rules except on Mondays, Tuesdays, and Wednesdays and during the last six days of a session of Congress."" Suspension measures, however, may be considered on other days by unanimous consent or under the terms of a special order of business (special rule) reported by the Committee on Rules and agreed to by the House.
Members of the House or Senate minority parties sponsored 31% of all suspension measures originating in either chamber, compared to 9% of legislation subject to different procedures, including privileged business (17 measures), unanimous consent (21 measures), and special rules (one Senate bill)."
188,"To do this, the report first examines historical trends in federal spending and revenue policy to illustrate both the challenges and trade-offs inherent to making choices between (1) limiting the provision of defense and domestic public goods, (2) reducing transfers to persons including entitlements for the elderly and those with low income, (3) reducing support for state and local governments, and (4) raising taxes.
Therefore, to address the budget shortfalls facing the country over the long run, it is likely that (1) transfer payments, such as Social Security, Medicare, and Medicaid, to or on behalf of individuals (which already account for half of federal spending and are growing) must be reduced; (2) transfers to state and local governments must be reduced (which would shift the budget decisions to a different level of government); (3) taxes must be raised; or some combination of the three.
Reductions in discretionary spending are insufficient to reduce the deficit to a sustainable level; thus, limiting taxes as a percentage of output or constraining the overall size of the government to current levels would likely require significant cuts in mandatory spending, including entitlement programs such as Social Security, Medicare, and Medicaid.
Federal Spending: Patterns over Time The objectives of government spending and taxes are generally viewed as providing for public and quasi-public goods, such as defense, law enforcement, infrastructure, and education; correcting market failures, including externalities (both negative, such as pollution, and positive, such as research and development); achieving distributive justice; and managing business cycles.
Nondefense discretionary funding, although small as a share of the budget and of GDP, is largely the spending that many people think of when they think of the direct provision of goods and services by the federal government.
(This table does not include earnings from interest on government securities held by the funds and transfers of income taxes collected on Social Security benefits; it also does not reflect administrative costs.) As indicated in the table, OASI payroll tax revenue (as a percentage of GDP) has declined over the past 11 years, while payments have increased substantially.
The Solutions Initiative III proposals all choose to raise additional revenue, which reduces the required cutbacks in Social Security and health spending to address the long-run deficit."
189,"The mission of the FCC is to ensure that the American people have available, ""without discrimination on the basis of race, color, religion, national origin, or sex, a rapid, efficient, Nationwide, and worldwide wire and radio communication service with adequate facilities at reasonable charges.""  The 1934 Act is divided into titles and sections that describe various powers and concerns of the commission.
FCC Operations: Budget, Authorization, and Reporting to Congress Since the 110 th Congress, the FCC has been funded through the House and Senate Financial Services and General Government (FSGG) appropriations bill as a single line item."
190,"2008 Department of Defense (DOD) Policy on Cluster Munitions25 The Barack Obama Administration announced on November 25, 2011, that the United States would continue to implement the DOD policy on cluster munitions issued June 19, 2008, which recognized the need to minimize harm to civilians and infrastructure but also reaffirmed that ""cluster munitions are legitimate weapons with clear military utility."" The central directive in the Pentagon's policy was the unwaiverable requirement that cluster munitions used after 2018 must leave less than 1% of unexploded submunitions on the battlefield."
191,"Background and Historical Context The United States has cultivated intelligence liaison relations with foreign partners through (1) the exchange of information, raw data, or finished intelligence; (2) basing rights for conducting intelligence operations, or privileges to host technical intelligence equipment; (3) burden sharing in the collection and reporting on issues of mutual interest; (4) joint covert action, collection, or exploitation operations; and (5) training.
U.S. intelligence exchange relationships with foreign partners, therefore, often reflect the high level of trust and professional confidence the U.S. IC places in partnerships with particular foreign allies' intelligence services, involving a broad range of overlapping national security, political, and economic interests.
A fundamental assumption, supported by decades of experience, is that building and maintaining these partnerships enhances U.S. national security by providing some benefit that the U.S. would otherwise lack: access to otherwise inaccessible or hostile targets, corroboration of sources, cultural or linguistic expertise, the capacity to conduct joint assessments, providing indications and warning of an attack, obtaining basing rights, or jointly planning and conducting covert operations or intelligence collection.
Early Years The earliest efforts by the United States to formally cooperate with foreign partners in intelligence took place during World War I, when the British and French provided training, advice, and tactical intelligence exchanges with the American Expeditionary Force (AEF) under General John Pershing.
Counterintelligence collected by a foreign intelligence partner (to support its own internal national security) and shared with the United States that includes information on U.S. persons requires special handling."
192,"The stated purposes of NVRA are to establish procedures to increase the number of eligible citizens registered to vote in federal elections; enable enhanced voter participation in federal elections; protect the integrity of the electoral process; and ensure accurate voter registration records.
Major Provisions of NVRA NVRA's shorthand name, the motor-voter bill, refers to one of its more well-known provisions—the requirement that states establish procedures for eligible individuals to register to vote in federal elections, or to update their voter registration records, simultaneously with their applications for motor vehicle driver's licenses or for any other form of personal identification provided by the state's department of motor vehicles (DMVs).
Maintenance and Updates to State Voter Lists As noted above, agencies providing voter registration forms, including DMVs, are required by NVRA to accept completed forms from applicants and transmit the forms to the appropriate state election official within 10 days of receipt.
The FEC was responsible for providing information to states about their responsibilities under NVRA; developing a mail-based federal voter registration form; and producing a biennial report to Congress, in consultation with states' chief election officers."
